nct_id,last_update_submitted_date,registration_date,summary_results_date,study_type,phase,enrollment,recruitment_status,title,start_date,completion_date,primary_completion_date,has_summary_results,allocation,masking,main_sponsor,is_multicentric,ucla_principal_investigator,ucla_study_chair,ucla_study_director,ucla_unspecified_official,registration_year,start_year,completion_year,primary_completion_year
NCT01734850,2020-07-22,2012-11-19,2020-06-25,Interventional,Phase 1/Phase 2,13,Completed,Safety Study of a Dual Anti-HIV Gene Transfer Construct to Treat HIV-1 Infection,2013-04-01T00:00:00Z,2017-11-01T00:00:00Z,2017-09-01T00:00:00Z,TRUE,Non-Randomized,None (Open Label),INDUSTRY,TRUE,"University of California, Los Angeles",NA,NA,NA,2012,2013,2017,2017
NCT01737593,2016-08-30,2012-11-13,2015-06-11,Interventional,Phase 4,108,Terminated,Can Acetaminophen Given 1-2 Hours to Children Before Ear Tube Surgery Reduce Agitation After Anesthesia?,2012-11-01T00:00:00Z,2014-04-01T00:00:00Z,2014-04-01T00:00:00Z,TRUE,Randomized,Double,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2012,2012,2014,2014
NCT01751698,2018-10-09,2012-12-14,NA,Interventional,Not Applicable,192,Completed,Adaptive Interventions for Minimally Verbal Children With ASD in the Community,2013-01-01T00:00:00Z,2017-12-01T00:00:00Z,2017-06-01T00:00:00Z,FALSE,Randomized,Single,OTHER,TRUE,"University of California, Los Angeles",NA,NA,NA,2012,2013,2017,2017
NCT01755962,2020-11-12,2012-10-11,NA,Interventional,Not Applicable,88,Completed,Glycemic Load & Resistance Training on Endothelial Function & Insulin Sensitivity,2012-04-01T00:00:00Z,2017-12-14T00:00:00Z,2017-12-14T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2012,2012,2017,2017
NCT01756651,2017-05-10,2012-12-20,NA,Interventional,Phase 1,20,Completed,Intranasal Fentanyl for Management of Pain Associated With Cystoscopic Procedures,2013-02-01T00:00:00Z,2016-05-10T00:00:00Z,2016-05-10T00:00:00Z,FALSE,Non-Randomized,Single,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2012,2013,2016,2016
NCT01762553,2016-02-16,2013-01-04,NA,Interventional,Not Applicable,1533,Completed,TEA for Families and Children: A Randomized Intervention Trial,2011-05-01T00:00:00Z,2015-06-01T00:00:00Z,2015-06-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"NPI-Center for Community Health, UCLA",NA,NA,NA,2013,2011,2015,2015
NCT01778855,2017-03-01,2013-01-23,2017-01-11,Interventional,Phase 2/Phase 3,6,Terminated,Hypothermia in Acute Stroke With Thrombolysis Imaging Evaluation of Revascularization,2013-02-01T00:00:00Z,2015-08-01T00:00:00Z,2015-08-01T00:00:00Z,TRUE,Randomized,Single,OTHER,TRUE,"University of California, Los Angeles",NA,NA,NA,2013,2013,2015,2015
NCT01781806,2018-04-04,2013-01-29,2017-08-24,Interventional,Phase 4,328,Completed,A Demonstration Project to Add Pre- or Post-exposure Prophylaxis to Combination HIV Prevention Services,2013-05-01T00:00:00Z,2016-05-01T00:00:00Z,2016-05-01T00:00:00Z,TRUE,Non-Randomized,None (Open Label),OTHER,TRUE,"University of California, Los Angeles",NA,NA,NA,2013,2013,2016,2016
NCT01808352,2016-01-20,2013-03-05,NA,Interventional,Phase 4,225,Completed,HPTN 073 Black Men Who Have Sex With Men (MSM) Pre-Exposure Prophylaxis (PrEP),2013-08-01T00:00:00Z,2015-09-01T00:00:00Z,2015-09-01T00:00:00Z,FALSE,NA,None (Open Label),NETWORK,TRUE,UCLA Vice Street Clinic,NA,NA,NA,2013,2013,2015,2015
NCT01844414,2015-05-26,2013-03-21,NA,Interventional,Not Applicable,600,Completed,UCLA-Amity Parolee Health Promotion Study,2010-02-01T00:00:00Z,2015-05-01T00:00:00Z,2014-01-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2013,2010,2015,2014
NCT01860807,2019-01-06,2013-05-20,2019-01-06,Interventional,Phase 2,125,Completed,Trial of Ibudilast for Methamphetamine Dependence,2013-07-01T00:00:00Z,2017-12-31T00:00:00Z,2017-12-31T00:00:00Z,TRUE,Randomized,Triple,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2013,2013,2017,2017
NCT01867944,2016-11-23,2013-05-29,NA,Interventional,Not Applicable,100,Completed,Perineal Self-Acupressure,2013-06-01T00:00:00Z,NA,2014-06-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2013,2013,NA,2014
NCT01871090,2019-01-31,2013-06-04,2016-06-02,Interventional,Not Applicable,99,Completed,Remote Device Interrogation In The Emergency Department,2013-09-01T00:00:00Z,2015-07-01T00:00:00Z,2015-04-01T00:00:00Z,TRUE,Non-Randomized,None (Open Label),INDUSTRY,FALSE,Los Angeles Biomedical Research Institute at Harbor - UCLA,NA,NA,NA,2013,2013,2015,2015
NCT01873248,2021-05-12,2013-06-03,NA,Interventional,Phase 1/Phase 2,238,Completed,"Investigation of 68Ga-DOTATATE, as a PET Imaging Agent in Neuroendocrine Tumor Patients",2013-08-26T00:00:00Z,2017-06-16T00:00:00Z,2017-06-16T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2013,2013,2017,2017
NCT01883791,2018-10-31,2012-11-30,NA,Interventional,Not Applicable,1080,Completed,"Screening, Brief Intervention and Referral to Treatment for Substance Abuse in Mental Health Treatment Settings",2013-03-01T00:00:00Z,2018-06-30T00:00:00Z,2017-06-30T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,"University of California, Los Angeles",NA,NA,NA,2012,2013,2018,2017
NCT01884233,2022-04-22,2013-05-24,NA,Interventional,Not Applicable,62,Completed,Cell Phone Technology Targeting ART Adherence and Drug Use,2012-12-01T00:00:00Z,2016-01-01T00:00:00Z,2016-01-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2013,2012,2016,2016
NCT01890265,2020-08-19,2013-06-24,2020-07-24,Interventional,Phase 2,160,Completed,Evaluate the Safety and Efficacy of FG-3019 (Pamrevlumab) in Participants With Idiopathic Pulmonary Fibrosis (IPF),2013-07-30T00:00:00Z,2017-11-16T00:00:00Z,2017-11-16T00:00:00Z,TRUE,Randomized,Quadruple,INDUSTRY,TRUE,"David Geffen School of Medicine at UCLA, USA",NA,NA,NA,2013,2013,2017,2017
NCT01900301,2019-10-03,2013-07-08,NA,Interventional,Phase 1,60,Completed,Generalization of Extinction Learning,2013-08-01T00:00:00Z,2017-08-01T00:00:00Z,2017-08-01T00:00:00Z,FALSE,Randomized,Triple,OTHER,FALSE,"Department of Psychology, UCLA",NA,NA,NA,2013,2013,2017,2017
NCT01906424,2017-01-20,2013-07-16,NA,Interventional,Not Applicable,7,Completed,Restoring Arm and Hand Function With Non-invasive Spinal Stimulation,2016-04-01T00:00:00Z,2016-12-31T00:00:00Z,2016-12-31T00:00:00Z,FALSE,Randomized,Single,INDUSTRY,TRUE,NA,"University of California, Los Angeles",NA,NA,2013,2016,2016,2016
NCT01922206,2020-01-14,2013-08-02,NA,Interventional,Not Applicable,362,Completed,Maternal HIV: Trial to Assist Disclosure to Children,2013-03-01T00:00:00Z,2019-11-01T00:00:00Z,2017-11-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2013,2013,2019,2017
NCT01937936,2016-10-26,2013-09-04,NA,Interventional,Not Applicable,50,Completed,Heart Failure Caregiver Study,2013-09-01T00:00:00Z,2015-05-01T00:00:00Z,2015-05-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,"University of California, Los Angeles",NA,NA,NA,2013,2013,2015,2015
NCT01942811,2015-01-08,2013-09-06,NA,Interventional,Not Applicable,134,Completed,BiNational Quit Using Drugs Intervention Trial,2013-02-01T00:00:00Z,2014-02-01T00:00:00Z,2014-02-01T00:00:00Z,FALSE,Randomized,Single,OTHER,TRUE,"University of California, Los Angeles",NA,NA,NA,2013,2013,2014,2014
NCT01944904,2017-02-27,2013-09-04,NA,Interventional,Not Applicable,18,Completed,Investigation of the Ability of a Supplement to Increase Good Bacteria in the Human Intestine and Blood Sugar Levels,2013-09-01T00:00:00Z,2014-08-01T00:00:00Z,2014-08-01T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,UCLA Department of Medicine,NA,NA,NA,2013,2013,2014,2014
NCT01949116,2021-10-28,2013-09-19,2017-12-04,Interventional,Phase 2,176,Completed,Safety and Effectiveness of Low-Dose Methotrexate for Reducing Inflammation in HIV-Infected Adults on ARV Medications,2014-01-31T00:00:00Z,2016-12-08T00:00:00Z,2016-12-08T00:00:00Z,TRUE,Randomized,Quadruple,NIH,TRUE,NA,"University of California, Los Angeles",NA,NA,2013,2014,2016,2016
NCT01949285,2017-01-20,2013-09-19,NA,Interventional,Not Applicable,10,Completed,Transcutaneous Electrical Spinal Cord Stimulation for Lower Limbs,2015-06-01T00:00:00Z,2016-12-31T00:00:00Z,2016-12-31T00:00:00Z,FALSE,Randomized,Double,INDUSTRY,FALSE,NA,"University of California, Los Angeles",NA,NA,2013,2015,2016,2016
NCT01954082,2019-03-20,2013-09-26,2017-12-29,Interventional,Phase 3,638,Terminated,Inositol to Reduce Retinopathy of Prematurity,2014-04-17T00:00:00Z,2016-12-31T00:00:00Z,2016-12-31T00:00:00Z,TRUE,Randomized,Quadruple,NETWORK,TRUE,"University of California, Los Angeles",NA,NA,NA,2013,2014,2016,2016
NCT01957748,2021-12-08,2013-09-09,NA,Interventional,Not Applicable,117,Completed,CCTG 594: Engagement and Retention in Care for HIV+,2013-10-08T00:00:00Z,2020-11-24T00:00:00Z,2017-12-15T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,NA,"CCTG, Harbor-UCLA",NA,NA,2013,2013,2020,2017
NCT01963780,2018-12-07,2013-09-04,NA,Interventional,Not Applicable,79,Completed,International EXPAND Lung Pivotal Trial,2013-11-01T00:00:00Z,2018-04-01T00:00:00Z,2017-10-30T00:00:00Z,FALSE,NA,None (Open Label),INDUSTRY,TRUE,"University of California, Los Angeles",NA,NA,NA,2013,2013,2018,2017
NCT01966679,2015-10-21,2013-10-08,NA,Interventional,Phase 2,40,Completed,Targeting GABA-A for the Treatment of Social Disability in Young Adults With Autism Spectrum Disorders: A Phase II Proof of Mechanism Trial,2013-10-01T00:00:00Z,2015-07-01T00:00:00Z,2015-07-01T00:00:00Z,FALSE,Randomized,Quadruple,OTHER,TRUE,"University of California, Los Angeles",NA,NA,NA,2013,2013,2015,2015
NCT01982643,2020-03-09,2013-11-04,2017-02-08,Interventional,Phase 1/Phase 2,49,Completed,Accelerated Development of Additive Pharmacotherapy Treatment for Methamphetamine Use Disorder,2013-11-01T00:00:00Z,2015-02-01T00:00:00Z,2015-02-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,TRUE,UCLA Integrated Substance Abuse Programs,NA,NA,NA,2013,2013,2015,2015
NCT01983930,2017-12-14,2013-10-30,2017-04-10,Interventional,Not Applicable,81,Completed,Memory Training Versus Yogic Meditation Training in Older Adults With Mild Cognitive Impairment,2013-09-01T00:00:00Z,2016-05-01T00:00:00Z,2016-05-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,FALSE,UCLA Semel Institute,NA,NA,NA,2013,2013,2016,2016
NCT01993069,2017-05-01,2013-07-16,NA,Interventional,Not Applicable,20,Terminated,Yoga Training for Returning Veterans With Headache,2013-10-01T00:00:00Z,2014-12-01T00:00:00Z,2014-12-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2013,2013,2014,2014
NCT02008396,2021-12-16,2013-12-06,2020-09-18,Interventional,Phase 2,12,Completed,Phase 2 Pilot Safety Study of MDMA-assisted Therapy for Social Anxiety in Autistic Adults,2014-02-01T00:00:00Z,2017-08-01T00:00:00Z,2017-08-01T00:00:00Z,TRUE,Randomized,Triple,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2013,2014,2017,2017
NCT02008773,2019-01-08,2013-12-07,2018-10-11,Interventional,Phase 2,170,Completed,A Double-Blind Trial of Adjunctive Valacyclovir to Improve Cognition in Early Phase Schizophrenia,2014-03-26T00:00:00Z,2017-06-20T00:00:00Z,2017-06-20T00:00:00Z,TRUE,Randomized,Triple,OTHER,TRUE,"University of California, Los Angeles",NA,NA,NA,2013,2014,2017,2017
NCT02025998,2016-02-19,2013-12-19,NA,Interventional,Phase 1,24,Completed,Development of Ibudilast for Alcohol Use Disorder,2013-12-01T00:00:00Z,2015-06-01T00:00:00Z,2015-06-01T00:00:00Z,FALSE,Randomized,Triple,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2013,2013,2015,2015
NCT02026011,2019-06-27,2013-12-30,2019-01-08,Interventional,Phase 2,87,Completed,Naltrexone for Individuals of East Asian Descent,2013-12-01T00:00:00Z,2016-09-01T00:00:00Z,2016-09-01T00:00:00Z,TRUE,Randomized,Triple,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2013,2013,2016,2016
NCT02046200,2018-07-10,2014-01-14,2016-11-03,Interventional,Phase 1/Phase 2,11,Completed,Development of Ivermectin for Alcohol Use Disorders,2014-02-01T00:00:00Z,2015-03-01T00:00:00Z,2015-03-01T00:00:00Z,TRUE,Randomized,Triple,OTHER,FALSE,"University of California, Los Angeles",NA,"University of California, Los Angeles",NA,2014,2014,2015,2015
NCT02074579,2017-04-28,2014-02-24,NA,Interventional,Phase 2,101,Completed,A Safety and Efficacy Study of Daikenchuto (TU-100) to Relieve Abdominal Bloating in Female Subjects With Irritable Bowel Syndrome,2014-07-01T00:00:00Z,2016-04-01T00:00:00Z,2016-04-01T00:00:00Z,FALSE,Randomized,Quadruple,INDUSTRY,FALSE,"Oppenheimer Family Center of Neurobiology of Stress, UCLA",NA,NA,NA,2014,2014,2016,2016
NCT02084316,2016-08-16,2014-03-07,NA,Interventional,Phase 2/Phase 3,360,Completed,Testing and Linkage to HIV Care in China,2014-03-01T00:00:00Z,2016-01-01T00:00:00Z,2014-08-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,"University of California, Los Angeles",NA,NA,NA,2014,2014,2016,2014
NCT02090075,2019-03-29,2014-03-16,2018-08-06,Interventional,Phase 4,66,Completed,Apixaban Versus Warfarin in the Evaluation of Progression of Atherosclerotic Calcification and Vulnerable Plaque,2014-09-01T00:00:00Z,2017-04-05T00:00:00Z,2016-12-27T00:00:00Z,TRUE,Randomized,Double,OTHER,FALSE,Lundquist Institute for Biomedical Innovation at Harbor-UCLA Medical Center,NA,NA,NA,2014,2014,2017,2016
NCT02093962,2021-03-23,2014-03-18,2017-07-13,Interventional,Phase 2,265,Terminated,Study of TH-302 or Placebo in Combination With Pemetrexed in Patients With Non-squamous Non-small Cell Lung Cancer,2014-06-01T00:00:00Z,2016-05-01T00:00:00Z,2016-04-01T00:00:00Z,TRUE,Randomized,Triple,INDUSTRY,TRUE,UCLA-Dept of Medicine a Div of Hem/Onc,NA,NA,NA,2014,2014,2016,2016
NCT02095106,2017-10-26,2014-03-20,2017-08-14,Interventional,Not Applicable,27,Completed,Waterproof Casting for Pediatric Distal Radius Fractures,2014-04-01T00:00:00Z,2015-10-01T00:00:00Z,2015-10-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,FALSE,"UCLA, Orthopaedic Institute for Children",NA,NA,NA,2014,2014,2015,2015
NCT02107196,2016-11-18,2014-04-04,2016-06-21,Interventional,Phase 3,535,Completed,12-Week Efficacy and Safety Study of Ibodutant in Women With Irritable Bowel Syndrome With Diarrhea (IBS-D),2014-03-01T00:00:00Z,2015-06-01T00:00:00Z,2015-06-01T00:00:00Z,TRUE,Randomized,Quadruple,INDUSTRY,TRUE,NA,"Digestive Health and Nutrition Clinic. University of California, Los Angeles, CA, USA",NA,NA,2014,2014,2015,2015
NCT02114918,2017-01-13,2014-04-11,NA,Interventional,Not Applicable,47,Completed,Attention Training for Childhood Obsessive Compulsive Disorder,2013-04-01T00:00:00Z,2016-05-01T00:00:00Z,2016-01-01T00:00:00Z,FALSE,Randomized,Quadruple,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2014,2013,2016,2016
NCT02120027,2017-01-18,2014-04-17,2016-11-18,Interventional,Phase 3,558,Terminated,52-Week Efficacy and Safety Study of Ibodutant in Women With Irritable Bowel Syndrome With Diarrhea (IBS-D),2014-02-01T00:00:00Z,2015-11-01T00:00:00Z,2015-11-01T00:00:00Z,TRUE,Randomized,Quadruple,INDUSTRY,TRUE,NA,"Digestive Health and Nutrition Clinic. University of California, Los Angeles, CA, USA",NA,NA,2014,2014,2015,2015
NCT02120781,2021-05-10,2014-03-21,2021-03-02,Interventional,Phase 2,21,Completed,Controlled Study to Evaluate the Safety and Efficacy of Azficel-T for Vocal Fold Scarring and Age-Related Dysphonia,2014-03-01T00:00:00Z,2016-12-21T00:00:00Z,2016-04-01T00:00:00Z,TRUE,Randomized,Triple,INDUSTRY,TRUE,"University of California, Los Angeles",NA,NA,NA,2014,2014,2016,2016
NCT02122068,2021-01-19,2014-04-16,NA,Interventional,Not Applicable,26,Completed,Meditation for Dementia Caregivers Major Depressive Disorder in Family Dementia Caregivers,2014-04-01T00:00:00Z,2015-09-01T00:00:00Z,2015-09-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2014,2014,2015,2015
NCT02125942,2021-01-11,2014-04-26,NA,Interventional,Not Applicable,15,Completed,Central Meditation and Imagery Therapy for Augmentation of Borderline Personality Disorder Treatment,2014-04-01T00:00:00Z,2015-09-01T00:00:00Z,2015-09-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2014,2014,2015,2015
NCT02129153,2017-02-06,2014-04-30,NA,Interventional,Not Applicable,318,Completed,Linking Families Together Study- A Randomized Trial to Raise Parental Monitoring,2014-09-01T00:00:00Z,2016-08-01T00:00:00Z,2016-06-30T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2014,2014,2016,2016
NCT02129790,2019-04-16,2014-04-25,NA,Interventional,Not Applicable,10,Completed,Mentalization-Based Therapy to Prevent Suicidal Behavior in Adolescents With Bipolar Disorder,2014-01-01T00:00:00Z,2018-09-01T00:00:00Z,2017-09-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,UCLA Department of Psychiatry,NA,NA,NA,2014,2014,2018,2017
NCT02158390,2018-07-10,2014-06-04,NA,Interventional,Not Applicable,78,Completed,Phenotypic Specific Communication Intervention for Children With Down Syndrome,2014-06-01T00:00:00Z,2018-02-06T00:00:00Z,2017-08-30T00:00:00Z,FALSE,Randomized,Single,OTHER,TRUE,NA,NA,"University of California, Los Angeles",NA,2014,2014,2018,2017
NCT02160002,2019-03-20,2014-05-08,2017-11-28,Interventional,Not Applicable,366,Completed,Incubator Weaning of Moderately Preterm Infants,2015-02-01T00:00:00Z,2017-06-01T00:00:00Z,2016-07-01T00:00:00Z,TRUE,Randomized,None (Open Label),NETWORK,TRUE,"University of California, Los Angeles",NA,NA,NA,2014,2015,2017,2016
NCT02178800,2021-10-14,2014-06-27,2018-04-30,Interventional,Phase 2,199,Completed,"Evaluating the Safety, Tolerability, and Pharmacokinetics of an Investigational, Injectable HIV Medicine (GSK1265744) in HIV-Uninfected Adults",2015-02-01T00:00:00Z,2018-07-13T00:00:00Z,2017-04-05T00:00:00Z,TRUE,Randomized,Quadruple,NIH,TRUE,NA,"University of California, Los Angeles",NA,NA,2014,2015,2018,2017
NCT02181062,2019-12-06,2014-06-30,NA,Interventional,Not Applicable,240,Completed,Culturally Tailoring a Stroke Intervention in Community Senior Centers,2014-10-01T00:00:00Z,2018-01-01T00:00:00Z,2016-08-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,"University of California, Los Angeles",NA,NA,NA,2014,2014,2018,2016
NCT02181114,2018-04-30,2014-06-27,NA,Interventional,Not Applicable,815,Completed,Your Path to Transplant: A Randomized Control Trial of A Tailored Computer Education Intervention for Living Donor Kidney Transplant,2014-05-01T00:00:00Z,2017-12-01T00:00:00Z,2017-12-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,"University of California, Los Angeles",NA,NA,NA,2014,2014,2017,2017
NCT02183844,2017-11-02,2014-06-30,NA,Interventional,Not Applicable,61,Completed,A System for Preference Assessment in Mental Health,2014-06-16T00:00:00Z,2017-10-31T00:00:00Z,2017-10-31T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2014,2014,2017,2017
NCT02227316,2018-06-05,2014-08-26,2017-12-13,Interventional,Phase 4,40,Completed,Effectiveness of IV Acetaminophen and IV Ibuprofen in Reducing Post Procedural Pain in the UFE Procedure,2014-08-01T00:00:00Z,2016-09-01T00:00:00Z,2016-09-01T00:00:00Z,TRUE,Randomized,Double,OTHER,TRUE,"University of California, Los Angeles",NA,NA,NA,2014,2014,2016,2016
NCT02233478,2019-08-15,2014-08-15,2018-09-25,Interventional,Not Applicable,18,Completed,Comparing the Effect of Whey and Soy Protein on the Absorption of Pomegranate Polyphenols in the Human Body,2014-08-01T00:00:00Z,2015-01-01T00:00:00Z,2015-01-01T00:00:00Z,TRUE,Randomized,Single,OTHER,FALSE,UCLA Department of Medicine,NA,NA,NA,2014,2014,2015,2015
NCT02256865,2022-03-11,2014-09-22,NA,Interventional,Early Phase 1,40,"Active, not recruiting",Hormonal Mechanisms of Sleep Restriction,2014-10-01T00:00:00Z,2023-10-01T00:00:00Z,2017-11-01T00:00:00Z,FALSE,Randomized,Triple,OTHER,FALSE,Lundquist Institute for Biomedical Innovation at Harbor-UCLA Medical Center,NA,NA,NA,2014,2014,2023,2017
NCT02258425,2017-06-16,2014-10-02,NA,Interventional,Not Applicable,130,Completed,Homeless Female Offenders Returning to the Community,2015-01-01T00:00:00Z,2016-11-01T00:00:00Z,2016-11-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,UCLA/UCI,NA,NA,NA,2014,2015,2016,2016
NCT02258776,2017-02-27,2014-09-26,NA,Interventional,Not Applicable,75,Completed,The Effect of Pomegranate on Aging and Inflammation of the Skin,2015-10-01T00:00:00Z,2017-02-27T00:00:00Z,2017-02-27T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,UCLA Department of Medicine,NA,NA,NA,2014,2015,2017,2017
NCT02262962,2016-06-20,2014-10-03,NA,Interventional,Not Applicable,251,Completed,Well-Child Care Redesign: A New Model of Care for Children in Low-Income Families,2005-06-01T00:00:00Z,2015-01-01T00:00:00Z,2015-01-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,UCLA Department of General Pediatrics,NA,NA,NA,2014,2005,2015,2015
NCT02267070,2017-12-05,2013-11-19,NA,Interventional,Not Applicable,48,Completed,Enhancing Cognitive Training Through Exercise After a First Schizophrenia Episode,2013-11-01T00:00:00Z,2017-07-01T00:00:00Z,2016-11-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2013,2013,2017,2016
NCT02268682,2017-01-09,2014-10-15,NA,Interventional,Not Applicable,558,Completed,Explore Transplant at Home: Improving Low-Income ESRD Patients' Transplant Knowledge,2014-07-01T00:00:00Z,2016-08-01T00:00:00Z,2016-08-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2014,2014,2016,2016
NCT02277327,2017-10-24,2014-10-24,NA,Interventional,Phase 2,200,Completed,Trial to Reduce Hospitalizations in Children With Medical Complexity,2014-11-01T00:00:00Z,2016-11-01T00:00:00Z,2016-11-01T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2014,2014,2016,2016
NCT02290938,2019-04-24,2014-07-10,NA,Interventional,Not Applicable,185,Completed,Motivational Interviewing and Culture for Urban Native American Youth (MICUNAY),2014-07-01T00:00:00Z,2018-06-01T00:00:00Z,2017-04-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,"University of California, Los Angeles",NA,NA,NA,2014,2014,2018,2017
NCT02321930,2019-02-27,2014-09-23,2019-01-18,Interventional,Phase 4,37,Completed,Musculoskeletal Ultrasound Assessment of Therapeutic Response of Tofacitinib in Rheumatoid Arthritis Patients,2016-02-16T00:00:00Z,2017-09-29T00:00:00Z,2017-09-29T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,"UCLA David Geffen School of Medicine, Division of Rheumatology",NA,NA,NA,2014,2016,2017,2017
NCT02347488,2017-03-20,2015-01-08,2016-11-03,Interventional,Phase 4,30,Completed,Endotracheal Tube Holder and Bite Guard Research,2015-02-01T00:00:00Z,2016-01-01T00:00:00Z,2015-08-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2015,2015,2016,2015
NCT02377063,2019-08-06,2015-02-18,2017-05-17,Interventional,Not Applicable,25,Completed,The Effect of Fruit/Vegetable Drinks on the Human Intestine,2015-04-01T00:00:00Z,2015-08-01T00:00:00Z,2015-08-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,"UCLA Department of Medicine, Division of Clinical Nutrition",NA,NA,NA,2015,2015,2015,2015
NCT02381392,2018-03-22,2015-02-21,2018-02-11,Interventional,Not Applicable,23,Terminated,A Comparison of Accuvein to Standard IV Access in Children 0 to 24 Months of Age in the Pediatric ED,2014-08-01T00:00:00Z,2016-11-19T00:00:00Z,2016-11-19T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,FALSE,Harbor-UCLA Department of Emergency Medicine,NA,Harbor-UCLA Department of Emergency Medicine,NA,2015,2014,2016,2016
NCT02393443,2017-08-08,2015-01-22,NA,Interventional,Early Phase 1,161,Completed,Oxytocin and Learning for Teaching,2015-01-01T00:00:00Z,2016-07-01T00:00:00Z,2016-07-01T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2015,2015,2016,2016
NCT02393456,2017-08-08,2015-01-22,NA,Interventional,Early Phase 1,161,Completed,Oxytocin and the Social Brain,2015-01-01T00:00:00Z,2016-07-01T00:00:00Z,2016-07-01T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2015,2015,2016,2016
NCT02394054,2017-08-08,2015-01-22,NA,Interventional,Early Phase 1,84,Completed,Vasopressin and the Social Brain,2015-01-01T00:00:00Z,2016-07-01T00:00:00Z,2016-07-01T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2015,2015,2016,2016
NCT02396576,2017-08-08,2015-03-04,NA,Interventional,Not Applicable,359,Completed,Using Telehealth to Deliver Mental Health Services in Primary Care Settings for Children in Underserved Areas,2015-04-07T00:00:00Z,2017-06-15T00:00:00Z,2017-06-15T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,"University of California, Los Angeles",NA,NA,NA,2015,2015,2017,2017
