nct_id,last_update_submitted_date,registration_date,summary_results_date,study_type,phase,enrollment,recruitment_status,title,start_date,completion_date,primary_completion_date,has_summary_results,allocation,masking,main_sponsor,is_multicentric,ucsd_principal_investigator,ucsd_study_chair,ucsd_study_director,ucsd_unspecified_official,registration_year,start_year,completion_year,primary_completion_year
NCT00849524,2015-11-30,2009-02-20,2015-08-24,Interventional,Phase 2,6,Terminated,"Study of Repeat Intranodal Injection of Memgen's Cancer Vaccine, Ad-ISF35, in Subjects With Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma (CLL/SLL)",2009-01-01T00:00:00Z,2014-07-01T00:00:00Z,2009-07-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,"Professor of Medicine, Evelyn and Edwin Tasch Chair in Cancer Research in the UCSD School of Medicine",NA,NA,NA,2009,2009,2014,2009
NCT00851357,2020-02-11,2009-02-24,2019-09-06,Interventional,Phase 3,4200,Completed,Telephone Counseling and the Distribution of Nicotine Patches to Smokers,2009-02-01T00:00:00Z,2011-12-01T00:00:00Z,2010-10-01T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,FALSE,"University of California, San Diego",NA,NA,NA,2009,2009,2011,2010
NCT00871819,2013-11-05,2009-03-27,2012-02-13,Interventional,Phase 4,20,Completed,Optimized Programming in Spinal Cord Stimulation (SCS) System,2009-03-01T00:00:00Z,2009-09-01T00:00:00Z,2009-08-01T00:00:00Z,TRUE,NA,Double,INDUSTRY,FALSE,"University of California, San Diego",NA,NA,NA,2009,2009,2009,2009
NCT00875862,2019-07-23,2009-04-03,NA,Interventional,Phase 4,4,Terminated,Shoulder Adhesive Capsulitis and Ambulatory Continuous Interscalene Nerve Blocks,2008-09-01T00:00:00Z,2009-09-01T00:00:00Z,2009-09-01T00:00:00Z,FALSE,Randomized,Quadruple,OTHER,FALSE,"University of California, San Diego",NA,NA,NA,2009,2008,2009,2009
NCT00876681,2009-10-07,2009-04-03,NA,Interventional,Phase 4,80,Completed,Ultrasound Guidance Versus Electrical Stimulation for Continuous Popliteal-Sciatic Nerve Blocks,2008-04-01T00:00:00Z,2009-04-01T00:00:00Z,2009-04-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, San Diego",NA,NA,NA,2009,2008,2009,2009
NCT00876746,2010-06-14,2009-04-03,NA,Interventional,Phase 4,60,Completed,Optimization of Catheter Insertion Site for Continuous Peripheral Nerve Blocks,2008-12-01T00:00:00Z,2010-01-01T00:00:00Z,2010-01-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, San Diego",NA,NA,NA,2009,2008,2010,2010
NCT00877266,2009-04-06,2009-04-03,NA,Interventional,Phase 4,180,Completed,Ultrasound Guidance Versus Electrical Stimulation for Perineural Catheter Insertion,2007-08-01T00:00:00Z,2009-02-01T00:00:00Z,2009-02-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, San Diego",NA,NA,NA,2009,2007,2009,2009
NCT00895921,2020-08-10,2009-05-07,2016-11-25,Interventional,Phase 4,30,Completed,Examining the Effects of Antipsychotic Medications on Insulin Sensitivity,2008-11-01T00:00:00Z,2010-06-01T00:00:00Z,2009-12-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,FALSE,UCSD and Veterans Affairs San Diego,NA,NA,NA,2009,2008,2010,2009
NCT00912314,2019-07-31,2009-06-01,NA,Interventional,Not Applicable,11,Completed,Trial of Maintenance Therapy With Posterior Tibial Nerve Stimulation for Overactive Bladder,2009-02-01T00:00:00Z,2010-06-01T00:00:00Z,2010-06-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,UCSD,NA,UCSD,NA,2009,2009,2010,2010
NCT00912873,2021-02-18,2009-06-01,2020-01-29,Interventional,Phase 4,50,Completed,Optimizing Local Anesthetic Concentration for Continuous Lumbar Plexus Nerve Blocks,2008-05-01T00:00:00Z,2009-06-01T00:00:00Z,2009-06-01T00:00:00Z,TRUE,Randomized,Double,OTHER,FALSE,"University of California, San Diego",NA,NA,NA,2009,2008,2009,2009
NCT00922649,2017-09-20,2008-03-13,NA,Interventional,Not Applicable,58,Completed,Pilot Study Assessing Insulin Pump Therapy in Type 2 Diabetes,2008-02-01T00:00:00Z,2009-01-01T00:00:00Z,2008-12-01T00:00:00Z,FALSE,Randomized,None (Open Label),INDUSTRY,TRUE,"University of California, San Diego",NA,NA,NA,2008,2008,2009,2008
NCT00942409,2015-11-30,2009-07-17,2015-08-24,Interventional,Phase 2,5,Terminated,Study of Repeat Intranodal Injections of Ad-ISF35,2009-06-01T00:00:00Z,2014-07-01T00:00:00Z,2009-07-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,"Professor of Medicine, Evelyn and Edwin Tasch Chair in Cancer Research in the UCSD School of Medicine",NA,NA,NA,2009,2009,2014,2009
NCT00944151,2014-05-19,2009-07-21,NA,Interventional,Phase 4,20,Terminated,Continuous Transversus Abdominis Plane Nerve Block for Postoperative Analgesia,2009-07-01T00:00:00Z,2010-09-01T00:00:00Z,2010-09-01T00:00:00Z,FALSE,Randomized,Quadruple,OTHER,FALSE,"University of California, San Diego",NA,NA,NA,2009,2009,2010,2010
NCT00967980,2010-09-23,2009-08-27,NA,Interventional,Phase 4,50,Completed,Femoral Versus Psoas Continuous Peripheral Nerve Blocks Following Hip Arthroplasty,2009-09-01T00:00:00Z,2010-08-01T00:00:00Z,2010-08-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, San Diego",NA,NA,NA,2009,2009,2010,2010
NCT00970671,2012-10-20,2009-09-01,NA,Interventional,Not Applicable,28,Completed,Treatment of Surgical Scars Using the Pulsed Dye Laser,2009-09-01T00:00:00Z,2010-12-01T00:00:00Z,2010-12-01T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,"University of California, San Diego",NA,NA,NA,2009,2009,2010,2010
NCT00996814,2012-01-10,2009-09-14,NA,Interventional,Not Applicable,386,Completed,Proactive Ethics Intervention to Improve Intensive Care Unit (ICU) Care,2007-10-01T00:00:00Z,2010-02-01T00:00:00Z,2010-02-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, San Diego",NA,NA,NA,2009,2007,2010,2010
NCT00997867,2010-10-27,2009-10-18,NA,Interventional,Phase 4,350,Completed,Perineural Catheter Insertion Distance for Continuous Peripheral Nerve Blocks,2009-11-01T00:00:00Z,2010-10-01T00:00:00Z,2010-10-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,"University of California, San Diego",NA,NA,NA,2009,2009,2010,2010
NCT01058694,2010-01-28,2010-01-27,NA,Interventional,Not Applicable,720,Completed,The Impact of Short Message Services (SMS) on ARV Adherence in Western Kenya,2007-06-01T00:00:00Z,2009-07-01T00:00:00Z,2008-12-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, San Diego",NA,NA,NA,2010,2007,2009,2008
NCT01144559,2010-10-29,2010-06-14,NA,Interventional,Phase 4,15,Completed,Continuous Femoral Nerve Blocks: Relative Effects of Basal Infusion and Bolus Doses on Sensory and Motor Function,2010-06-01T00:00:00Z,2010-09-01T00:00:00Z,2010-09-01T00:00:00Z,FALSE,Randomized,Quadruple,OTHER,FALSE,"University of California, San Diego",NA,NA,NA,2010,2010,2010,2010
NCT01171261,2012-06-08,2010-07-23,NA,Interventional,Not Applicable,63,Completed,Testing Health Games for Adolescent Physical Activity,2008-05-01T00:00:00Z,2010-09-01T00:00:00Z,2010-09-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,UCSD,NA,NA,NA,2010,2008,2010,2010
NCT01248832,2020-02-11,2010-11-24,NA,Interventional,Not Applicable,2277,Completed,Smokers' Quitline for Asian Language Speakers,2004-08-01T00:00:00Z,2008-11-01T00:00:00Z,2008-04-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, San Diego",NA,NA,NA,2010,2004,2008,2008
NCT01258465,2010-12-10,2010-12-10,NA,Interventional,Not Applicable,39,Completed,Research in Autism: Parent Intervention,2005-01-01T00:00:00Z,2009-12-01T00:00:00Z,2009-12-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,"University of California, San Diego",NA,NA,NA,2010,2005,2009,2009
NCT01303354,2011-02-23,2011-02-04,NA,Interventional,Not Applicable,100,Completed,Lumbar Transforaminal Epidural Dexamethasone,2008-04-01T00:00:00Z,2010-06-01T00:00:00Z,2010-06-01T00:00:00Z,FALSE,Randomized,Triple,INDIV,TRUE,"University of California, San Diego",NA,NA,NA,2011,2008,2010,2010
NCT01517672,2012-01-21,2012-01-16,NA,Interventional,Not Applicable,41,Completed,Imaging Outcomes of Cognitive Behavioral Therapy (CBT) for Battered Women With Posttraumatic Stress Disorder,2008-01-01T00:00:00Z,2010-12-01T00:00:00Z,2010-12-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,"University of California, San Diego",NA,NA,NA,2012,2008,2010,2010
NCT01521026,2019-07-03,2012-01-22,2013-07-01,Interventional,Not Applicable,69,Completed,Cognitive Training for Patients With Schizophrenia,2003-09-01T00:00:00Z,2009-08-01T00:00:00Z,2009-08-01T00:00:00Z,TRUE,Randomized,Single,OTHER,FALSE,UCSD,NA,NA,NA,2012,2003,2009,2009
NCT01527955,2012-02-06,2012-02-02,NA,Interventional,Not Applicable,47,Completed,"Kelee® Meditation: A Distinctive and Effective Therapeutic Intervention for Stress, Anxiety, and Depression",2008-09-01T00:00:00Z,2011-06-01T00:00:00Z,2010-09-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,TRUE,"University of California, San Diego",NA,NA,NA,2012,2008,2011,2010
NCT01550536,2012-03-09,2012-03-05,NA,Interventional,Not Applicable,49,Completed,Physical Activity and Basal Metabolic Rate in Postmenopausal Women,2008-01-01T00:00:00Z,2010-08-01T00:00:00Z,2010-08-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),OTHER,TRUE,"University of California, San Diego",NA,NA,NA,2012,2008,2010,2010
NCT01594346,2012-05-08,2012-05-02,NA,Interventional,Phase 3,349,Completed,Multicenter Vitamin E Trial in Aging Persons With Down Syndrome,2000-09-01T00:00:00Z,2010-04-01T00:00:00Z,2010-04-01T00:00:00Z,FALSE,Randomized,Triple,OTHER_GOV,TRUE,NA,NA,"University of California, San Diego",NA,2012,2000,2010,2010
NCT01661608,2012-08-07,2012-08-07,NA,Interventional,Not Applicable,32,Terminated,Gastric Restriction Using the EndoSurgical Operating System,2008-12-01T00:00:00Z,2010-01-01T00:00:00Z,2010-01-01T00:00:00Z,FALSE,NA,None (Open Label),INDUSTRY,TRUE,UCSD,NA,NA,NA,2012,2008,2010,2010
NCT02012322,2013-12-17,2013-12-10,NA,Interventional,Not Applicable,44,Completed,UCSD Q10 and Aging Study,2008-11-01T00:00:00Z,2009-07-01T00:00:00Z,2009-07-01T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,"University of California, San Diego",NA,NA,NA,2013,2008,2009,2009
NCT02050763,2014-10-12,2014-01-28,NA,Interventional,Not Applicable,11451,Completed,Assessing the Impact of an Intervention to Prevent Intimate Partner Violence and HIV in Uganda,2005-02-01T00:00:00Z,2009-11-01T00:00:00Z,2009-11-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, San Diego",NA,NA,NA,2014,2005,2009,2009
