nct_id,last_update_submitted_date,registration_date,summary_results_date,study_type,phase,enrollment,recruitment_status,title,start_date,completion_date,primary_completion_date,has_summary_results,allocation,masking,main_sponsor,is_multicentric,stanford_principal_investigator,stanford_unspecified_official,stanford_study_director,stanford_sub_investigator,stanford_study_chair,registration_year,start_year,completion_year,primary_completion_year
NCT01506726,2016-08-31,2012-01-06,2015-10-26,Interventional,Phase 2,11,Terminated,Trial To Evaluate the Efficacy of Oral Salsalate in the Treatment of Older Adults With Unexplained Anemia,2012-03-01T00:00:00Z,2014-11-01T00:00:00Z,2014-10-01T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,TRUE,NA,NA,NA,NA,Stanford University,2012,2012,2014,2014
NCT01507948,2017-01-19,2011-12-14,NA,Interventional,Not Applicable,94,Completed,Brain Imaging of Psychotherapy for Posttraumatic Stress Disorder (PTSD),2010-09-01T00:00:00Z,2016-01-01T00:00:00Z,2016-01-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,Stanford University,NA,Stanford University,NA,NA,2011,2010,2016,2016
NCT01516411,2015-12-08,2012-01-19,NA,Interventional,Not Applicable,130,Completed,Promoting Healthy Lifestyles Using Mobile Phones,2010-10-01T00:00:00Z,2014-12-01T00:00:00Z,2014-12-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,Stanford Prevention Research Center,NA,NA,NA,NA,2012,2010,2014,2014
NCT01523223,2019-03-16,2012-01-27,NA,Interventional,Phase 1,16,Completed,Donor Peripheral Stem Cell Transplant in Treating Patients With Hematolymphoid Malignancies,2012-01-01T00:00:00Z,2016-10-01T00:00:00Z,2016-09-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2012,2012,2016,2016
NCT01529437,2015-11-24,2012-01-30,NA,Interventional,Phase 1,31,Completed,Sublingual Immunotherapy Studies for Grass and Dust Mite Allergies,2005-01-01T00:00:00Z,2014-01-01T00:00:00Z,2014-01-01T00:00:00Z,FALSE,Randomized,Quadruple,OTHER,FALSE,Stanford University Faculty,NA,NA,NA,NA,2012,2005,2014,2014
NCT01549652,2019-01-02,2012-02-13,2016-11-16,Interventional,Not Applicable,133,Completed,5HT3 Antagonists to Treat Opioid Withdrawal and to Prevent the Progression of Physical Dependence,2011-04-01T00:00:00Z,2016-10-01T00:00:00Z,2015-04-01T00:00:00Z,TRUE,Randomized,Triple,OTHER,FALSE,Stanford University,NA,NA,NA,NA,2012,2011,2016,2015
NCT01550224,2018-07-13,2012-03-07,2018-06-15,Interventional,Phase 2,23,Completed,Temozolomide Plus Vorinostat in Relapse/Refractory Acute Myeloid Leukemia (AML),2013-05-01T00:00:00Z,2014-11-17T00:00:00Z,2014-11-17T00:00:00Z,TRUE,Non-Randomized,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2012,2013,2014,2014
NCT01552213,2018-07-25,2012-03-06,2017-10-13,Interventional,Not Applicable,95,Completed,Early Screening and Treatment of Women With Prediabetes in Pregnancy,2012-03-01T00:00:00Z,2014-09-01T00:00:00Z,2014-09-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,TRUE,Stanford University,NA,NA,NA,NA,2012,2012,2014,2014
NCT01559857,2017-03-30,2012-03-16,2016-10-19,Interventional,Phase 4,37,Completed,Pioglitazone in Patients With Mood Disorders,2011-11-01T00:00:00Z,2014-06-01T00:00:00Z,2014-01-01T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,FALSE,Stanford University,NA,NA,NA,NA,2012,2011,2014,2014
NCT01579682,2016-04-12,2012-04-05,NA,Interventional,Not Applicable,90,Completed,Adaptive Family Treatment for Adolescent Anorexia Nervosa,2011-09-01T00:00:00Z,2015-12-01T00:00:00Z,2015-12-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,Stanford University,NA,NA,NA,NA,2012,2011,2015,2015
NCT01591148,2017-12-27,2012-05-01,NA,Interventional,Phase 1,30,Completed,A High Resolution Pharmacokinetic/Pharmacodynamic Model of Propofol in Morbidly Obese Subjects,2011-01-01T00:00:00Z,2017-07-01T00:00:00Z,2017-07-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2012,2011,2017,2017
NCT01593397,2017-12-27,2012-04-30,NA,Interventional,Phase 1,100,Completed,"Adiponectin Polymorphisms, Insulin Resistance, and Pharmacokinetics in Obesity",2011-11-01T00:00:00Z,2017-09-01T00:00:00Z,2017-09-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2012,2011,2017,2017
NCT01619982,2018-04-16,2012-03-02,2017-06-21,Interventional,Phase 4,32,Completed,Pre-operative Prophylaxis With Vancomycin and Cefazolin in Pediatric Cardiovascular Surgery Patients,2012-02-01T00:00:00Z,2014-12-01T00:00:00Z,2014-12-01T00:00:00Z,TRUE,Non-Randomized,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2012,2012,2014,2014
NCT01624194,2019-07-12,2012-06-18,2017-09-20,Interventional,Phase 2,54,Completed,Intranasal Oxytocin Treatment for Social Deficits in Children With Autism,2012-06-01T00:00:00Z,2016-05-01T00:00:00Z,2016-05-01T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,FALSE,Stanford University,NA,NA,NA,NA,2012,2012,2016,2016
NCT01631331,2017-11-06,2012-06-25,2017-02-02,Interventional,Early Phase 1,15,Completed,Vismodegib in Treating Patients With Basal Cell Carcinoma (BCC),2012-06-01T00:00:00Z,2016-05-31T00:00:00Z,2015-09-17T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2012,2012,2016,2015
NCT01642836,2021-04-28,2012-07-10,NA,Interventional,Not Applicable,241,Completed,"Clinic, Family & Community Intervention for Children With Overweight and Obesity (Stanford GOALS)",2012-07-13T00:00:00Z,2016-12-19T00:00:00Z,2016-12-19T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,Stanford University,NA,NA,NA,NA,2012,2012,2016,2016
NCT01647945,2016-08-11,2012-07-18,2016-06-24,Interventional,Phase 2,23,Completed,FK506 (Tacrolimus) in Pulmonary Arterial Hypertension,2012-07-01T00:00:00Z,2014-08-01T00:00:00Z,2014-05-01T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,FALSE,Stanford University,NA,NA,NA,NA,2012,2012,2014,2014
NCT01663012,2016-01-25,2012-08-02,2015-05-28,Interventional,Phase 2,20,Completed,Phase II NKTR-102 In Bevacizumab-Resistant High Grade Glioma,2012-07-01T00:00:00Z,2015-02-01T00:00:00Z,2015-02-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2012,2012,2015,2015
NCT01719861,2017-03-02,2012-10-29,2017-01-12,Interventional,Phase 2,6,Terminated,Phase 2a Desipramine in Small Cell Lung Cancer and Other High-Grade Neuroendocrine Tumors,2012-10-01T00:00:00Z,2015-05-01T00:00:00Z,2014-05-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2012,2012,2015,2014
NCT01721668,2016-08-03,2012-11-01,NA,Interventional,Not Applicable,29,Completed,Improving Arm and Hand Functions in Chronic Stroke (CIHR 2012-2015),2012-11-01T00:00:00Z,2016-03-01T00:00:00Z,2016-03-01T00:00:00Z,FALSE,Randomized,Triple,OTHER,FALSE,Stanford University,NA,NA,NA,NA,2012,2012,2016,2016
NCT01729273,2014-10-02,2012-11-13,NA,Interventional,Not Applicable,20,Completed,Vascular Health and Exercise Performance of Overweight Children,2012-07-01T00:00:00Z,2014-03-01T00:00:00Z,2014-03-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,NA,NA,NA,NA,Stanford Prevention Research Center,2012,2012,2014,2014
NCT01745354,2016-11-17,2012-12-06,NA,Interventional,Phase 1,6,Terminated,Immunostimulatory CpG SD-101 + RT in Recurrent/Progressive Lymphoma After Allogeneic Hematopoietic Cell Transplantation (HCT),2012-08-01T00:00:00Z,2014-11-01T00:00:00Z,2014-11-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2012,2012,2014,2014
NCT01769209,2018-10-14,2013-01-14,2018-09-12,Interventional,Phase 2,18,Completed,Bortezomib and Combination Chemotherapy in Treating Patients With Relapsed or Refractory Acute Lymphoblastic Leukemia,2013-03-01T00:00:00Z,2017-07-04T00:00:00Z,2016-11-25T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2013,2013,2017,2016
NCT01769222,2017-01-12,2013-01-14,2017-01-12,Interventional,Phase 1/Phase 2,3,Terminated,"Ipilimumab and Local Radiation Therapy in Treating Patients With Recurrent Melanoma, Non-Hodgkin Lymphoma, Colon, or Rectal Cancer",2013-02-01T00:00:00Z,2015-06-01T00:00:00Z,2014-11-01T00:00:00Z,TRUE,Non-Randomized,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2013,2013,2015,2014
NCT01771666,2017-11-07,2013-01-16,2017-09-06,Interventional,Phase 2,23,Completed,Pilot Indocyanine Green Imaging for Mapping of Arm Draining Lymphatics & Nodes in Breast Cancer,2012-07-01T00:00:00Z,2015-03-17T00:00:00Z,2015-03-17T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2013,2012,2015,2015
NCT01781637,2022-01-11,2013-01-30,2017-03-23,Interventional,Phase 1/Phase 2,36,"Active, not recruiting",Peanut Reactivity Reduced by Oral Tolerance in an Anti-IgE Clinical Trial,2013-01-01T00:00:00Z,2025-10-01T00:00:00Z,2015-10-01T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,TRUE,NA,NA,NA,NA,Stanford University,2013,2013,2025,2015
NCT01802073,2018-08-23,2013-02-21,2018-07-20,Interventional,Phase 3,34,Completed,Primary Sclerosing Cholangitis With Oral Vancomycin by the Study of Its Antimicrobial and Immunomodulating Effects,2012-01-01T00:00:00Z,2015-08-01T00:00:00Z,2015-08-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2013,2012,2015,2015
NCT01806675,2019-09-21,2013-03-05,2019-08-14,Interventional,Phase 1/Phase 2,25,Completed,18F-FPPRGD2 PET/CT or PET/MRI in Predicting Early Response in Patients With Cancer Receiving Anti-Angiogenesis Therapy,2013-03-04T00:00:00Z,2019-04-01T00:00:00Z,2016-12-07T00:00:00Z,TRUE,Non-Randomized,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2013,2013,2019,2016
NCT01806701,2016-10-12,2013-02-27,NA,Interventional,Not Applicable,68,Completed,Brain Response to Treatment for Pediatric PTSD,2013-04-01T00:00:00Z,2016-05-01T00:00:00Z,2016-05-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2013,2013,2016,2016
NCT01807598,2019-01-09,2013-03-05,2018-12-14,Interventional,Phase 2,10,Completed,Brentuximab Vedotin in Treating Patients With Advanced Systemic Mastocytosis or Mast Cell Leukemia,2013-09-01T00:00:00Z,2017-09-01T00:00:00Z,2017-09-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,TRUE,Stanford University Hospitals and Clinics,NA,NA,NA,NA,2013,2013,2017,2017
NCT01815814,2015-07-04,2013-03-19,NA,Interventional,Not Applicable,38,Completed,Therapeutic Potential of Myofascial Structural Integration in Children With Cerebral Palsy,2011-11-01T00:00:00Z,2014-11-01T00:00:00Z,2014-11-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,Stanford University,NA,NA,NA,NA,2013,2011,2014,2014
NCT01823341,2016-08-26,2013-03-29,2015-06-25,Interventional,Phase 2,97,Completed,Outpatient Reduction of Nocturnal Hypoglycemia by Using Predictive Algorithms and Pump Suspension in Children,2013-05-01T00:00:00Z,2014-09-01T00:00:00Z,2014-09-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,TRUE,NA,NA,NA,NA,Stanford University,2013,2013,2014,2014
NCT01823679,2018-03-15,2013-03-29,2017-01-20,Interventional,Phase 2,2,Terminated,Capecitabine in Treating Patients With Advanced or Recurrent Squamous Cell Carcinoma of the Skin,2013-03-01T00:00:00Z,2014-05-01T00:00:00Z,2014-05-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2013,2013,2014,2014
NCT01826591,2020-08-06,2013-03-27,NA,Interventional,Not Applicable,609,Completed,DIETFITS Study (Diet Intervention Examining the Factors Interacting With Treatment Success,2013-01-01T00:00:00Z,2016-05-01T00:00:00Z,2016-05-01T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,Stanford University,NA,NA,NA,NA,2013,2013,2016,2016
NCT01827462,2017-06-09,2013-04-04,2017-03-30,Interventional,Phase 4,136,Completed,Comparison of Immune Responses to Influenza Vaccine In Adults of Different Ages (SLVP015 2007-2017),2007-10-01T00:00:00Z,2017-03-01T00:00:00Z,2015-12-01T00:00:00Z,TRUE,Non-Randomized,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2013,2007,2017,2015
NCT01832064,2014-07-29,2013-04-11,NA,Interventional,Not Applicable,255,Completed,Active Living Tool Kit for Chronic Conditions,2013-06-01T00:00:00Z,2014-07-01T00:00:00Z,2014-07-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2013,2013,2014,2014
NCT01846624,2018-09-25,2013-04-30,2018-08-09,Interventional,Phase 2,13,Terminated,Decitabine and Midostaurin in Treating Older Patients With Newly Diagnosed Acute Myeloid Leukemia,2013-06-01T00:00:00Z,2016-08-31T00:00:00Z,2016-07-22T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2013,2013,2016,2016
NCT01846741,2015-10-26,2013-04-15,2015-07-10,Interventional,Not Applicable,20,Completed,VNS Therapy Automatic Magnet Mode Outcomes Study in Epilepsy Patients Exhibiting Ictal Tachycardia (E-37),2013-07-01T00:00:00Z,2015-08-01T00:00:00Z,2014-08-01T00:00:00Z,TRUE,NA,None (Open Label),INDUSTRY,TRUE,Stanford University,NA,NA,NA,NA,2013,2013,2015,2014
NCT01856777,2014-05-12,2013-05-03,NA,Interventional,Not Applicable,600,Completed,Effectiveness of Pregnancy Tests as an Assessment Tool to Identify Continuing Pregnancy,2013-06-01T00:00:00Z,2014-02-01T00:00:00Z,2014-02-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,Stanford University,NA,NA,NA,NA,2013,2013,2014,2014
NCT01857752,2017-01-26,2013-03-25,NA,Interventional,Phase 2,3,Terminated,Phase II Study Temozolomide for Retinoblastoma Metastatic to the Central Nervous System for Patients From Guatemala,2012-03-01T00:00:00Z,2015-06-01T00:00:00Z,2015-06-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2013,2012,2015,2015
NCT01862991,2017-04-26,2013-05-22,2017-02-07,Interventional,Not Applicable,80,Completed,Pre-Operative Effects of Mifepristone on Dilation and Evacuation Services,2013-07-01T00:00:00Z,2016-06-01T00:00:00Z,2016-06-01T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,TRUE,Stanford University,NA,NA,NA,NA,2013,2013,2016,2016
NCT01868503,2017-06-21,2013-05-30,2016-11-21,Interventional,Phase 2,7,Terminated,Lapatinib Ditosylate and Radiation Therapy in Treating Patients With Locally Advanced or Locally Recurrent Breast Cancer,2013-07-01T00:00:00Z,2015-07-01T00:00:00Z,2014-12-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,Stanford University Hospitals and Clinics,NA,NA,NA,NA,2013,2013,2015,2014
NCT01885728,2016-11-04,2013-06-18,NA,Interventional,Not Applicable,22,Completed,Immune-modulation Effects of an Arginine Rich Nutritional Supplement in Surgical Patients,2013-07-01T00:00:00Z,2016-06-01T00:00:00Z,2016-06-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,Stanford University SOM,NA,NA,NA,NA,2013,2013,2016,2016
NCT01893879,2017-04-13,2013-07-02,2016-12-09,Interventional,Not Applicable,14,Terminated,Placebo-Controlled Therapeutic Trial for the Prevention of Lymphedema,2014-04-01T00:00:00Z,2015-04-01T00:00:00Z,2015-04-01T00:00:00Z,TRUE,Randomized,Double,OTHER,FALSE,Stanford University Hospitals and Clinics,NA,NA,NA,NA,2013,2014,2015,2015
NCT01893892,2017-08-03,2013-07-02,NA,Interventional,Not Applicable,12,Completed,Levocarnitine in Treating Patients With Vismodegib-Associated Muscle Spasms,2014-03-01T00:00:00Z,2017-03-15T00:00:00Z,2017-03-15T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,Stanford University,NA,NA,NA,NA,2013,2014,2017,2017
NCT01898403,2017-04-19,2013-07-03,2017-02-24,Interventional,Not Applicable,50,Completed,Lymph Node Mapping Using Indocyanine Green Solution in Diagnosing Patients With Malignant Melanoma,2013-06-01T00:00:00Z,2015-04-01T00:00:00Z,2014-06-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,Stanford University Hospitals and Clinics,NA,NA,NA,NA,2013,2013,2015,2014
NCT01899378,2016-10-13,2013-07-10,NA,Interventional,Phase 1,160,Completed,Safety and Efficacy of Probiotics in Bangladeshi Infants,2013-10-01T00:00:00Z,2014-07-01T00:00:00Z,2014-07-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,Stanford University,NA,Stanford University,NA,NA,2013,2013,2014,2014
NCT01904643,2018-10-25,2013-07-17,NA,Interventional,Phase 1,17,Terminated,Lenalidomide and Combination Chemotherapy in Treating Patients With Relapsed or Refractory Acute Myeloid Leukemia,2014-02-01T00:00:00Z,2015-07-18T00:00:00Z,2015-05-13T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2013,2014,2015,2015
NCT01908166,2017-06-06,2013-07-23,NA,Interventional,Not Applicable,61,Completed,Ultrasound Elastography in Diagnosing Patients With Kidney or Liver Solid Focal Lesions,2014-01-01T00:00:00Z,2016-11-01T00:00:00Z,2016-11-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,Stanford University Hospitals and Clinics,NA,NA,NA,NA,2013,2014,2016,2016
NCT01911039,2021-09-20,2013-07-15,NA,Interventional,Phase 1,14,Completed,Phase 1 Infused Donor T Regulatory Cells in Steroid Dependent/Refractory Chronic GVHD,2013-07-01T00:00:00Z,2018-07-31T00:00:00Z,2017-12-31T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2013,2013,2018,2017
NCT01919502,2014-05-12,2013-08-05,NA,Interventional,Not Applicable,51,Completed,Semi-quantitative Pregnancy Test to Monitor hCG Levels After Assisted Fertility Treatment,2013-10-01T00:00:00Z,2014-04-01T00:00:00Z,2014-04-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,"Division of Reproductive Endocrinology and Infertility Stanford University School of Medicine; Dept of Obstetrics and Gynecology, Stanford University, Stanford University School of Medicine",NA,NA,NA,NA,2013,2013,2014,2014
NCT01928030,2017-02-13,2013-08-20,2016-12-13,Interventional,Phase 1/Phase 2,3,Terminated,Recombinant Human Hyaluronidase in Treating Lymphedema in Patients With Cancer,2013-12-01T00:00:00Z,2015-11-01T00:00:00Z,2015-11-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2013,2013,2015,2015
NCT01932060,2016-12-07,2013-08-21,2016-02-03,Interventional,Phase 3,51,Completed,Oxytocin Infusions and Blood Loss in Patients Undergoing Elective Cesarean Delivery.,2013-08-01T00:00:00Z,2015-09-01T00:00:00Z,2015-09-01T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,FALSE,Stanford University,NA,NA,NA,NA,2013,2013,2015,2015
NCT01943188,2017-03-13,2013-09-11,NA,Interventional,Phase 1,2,Terminated,Stereotactic Body Radiation Therapy and T-Cell Infusion in Treating Patients With Metastatic Kidney Cancer,2014-05-01T00:00:00Z,NA,2016-03-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,Stanford University Hospitals and Clinics,NA,NA,NA,NA,2013,2014,NA,2016
NCT01943357,2017-04-24,2013-09-09,NA,Interventional,Not Applicable,1000,Completed,Improving Self Management Skills of Older Adults With Diabetes,2013-09-01T00:00:00Z,2017-02-01T00:00:00Z,2016-03-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,Stanford School of Medicine,NA,NA,NA,NA,2013,2013,2017,2016
NCT01945112,2018-11-21,2013-09-13,2016-07-23,Interventional,Not Applicable,128,Completed,Prevention Trial Assessing Paper-Tape in Endurance Distances II (Pre-TAPED II),2014-02-01T00:00:00Z,2015-07-01T00:00:00Z,2015-07-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2013,2014,2015,2015
NCT01954082,2019-03-20,2013-09-26,2017-12-29,Interventional,Phase 3,638,Terminated,Inositol to Reduce Retinopathy of Prematurity,2014-04-17T00:00:00Z,2016-12-31T00:00:00Z,2016-12-31T00:00:00Z,TRUE,Randomized,Quadruple,NETWORK,TRUE,Stanford University,NA,NA,NA,NA,2013,2014,2016,2016
NCT01958541,2018-04-25,2013-10-07,NA,Interventional,Not Applicable,77,Completed,A Brief Behavioral Sleep Intervention for Depression Among Military Veterans,2013-03-01T00:00:00Z,2017-09-01T00:00:00Z,2017-09-01T00:00:00Z,FALSE,Randomized,Single,OTHER,TRUE,Stanford University,NA,NA,NA,NA,2013,2013,2017,2017
NCT01962870,2019-05-02,2013-10-08,2019-03-30,Interventional,Phase 2,68,Completed,The Role of Vasopressin in the Social Deficits of Autism,2013-12-01T00:00:00Z,2017-05-30T00:00:00Z,2017-05-30T00:00:00Z,TRUE,Randomized,Triple,OTHER,FALSE,Stanford University,NA,NA,NA,NA,2013,2013,2017,2017
NCT01965002,2018-04-28,2013-10-15,2018-03-26,Interventional,Not Applicable,5,Terminated,Feasibility of ExAblate MRI Guided High Intensity Focused Ultrasound Tx of Soft Tissue Tumors,2014-05-01T00:00:00Z,2015-03-24T00:00:00Z,2015-03-24T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2013,2014,2015,2015
NCT01970007,2021-03-12,2013-10-22,2021-02-03,Interventional,Not Applicable,243,Completed,VIVO Clinical Study,2013-12-13T00:00:00Z,2019-11-20T00:00:00Z,2017-11-20T00:00:00Z,TRUE,NA,None (Open Label),INDUSTRY,TRUE,Stanford University,NA,NA,NA,NA,2013,2013,2019,2017
NCT01975090,2021-10-25,2013-10-28,2017-09-14,Interventional,Not Applicable,129,Completed,The SENTRY Clinical Study,2014-09-01T00:00:00Z,2018-12-01T00:00:00Z,2016-08-01T00:00:00Z,TRUE,NA,None (Open Label),INDUSTRY,TRUE,Stanford University,NA,NA,NA,NA,2013,2014,2018,2016
NCT01977677,2018-09-27,2013-10-31,2018-06-05,Interventional,Phase 1/Phase 2,30,Completed,Plerixafor After Radiation Therapy and Temozolomide in Treating Patients With Newly Diagnosed High Grade Glioma,2014-11-01T00:00:00Z,2018-09-01T00:00:00Z,2017-11-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,Stanford University Hospitals and Clinics,NA,NA,NA,NA,2013,2014,2018,2017
NCT01977690,2017-07-21,2013-10-31,2016-07-16,Interventional,Not Applicable,30,Completed,Clavicle Splint for Pain Reduction After Posterior Cervicothoracic Surgery,2013-10-01T00:00:00Z,2014-08-01T00:00:00Z,2014-08-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2013,2013,2014,2014
NCT01981863,2016-05-23,2013-09-19,2016-04-01,Interventional,Phase 4,40,Completed,Fibrinolysis Before Cardiopulmonary Bypass?,2013-07-01T00:00:00Z,2014-02-01T00:00:00Z,2014-02-01T00:00:00Z,TRUE,Randomized,Triple,OTHER,FALSE,Stanford University,NA,NA,NA,NA,2013,2013,2014,2014
NCT01987375,2019-06-21,2013-10-08,NA,Interventional,Phase 1,1,Terminated,Cetuximab IRDye800 Study as an Optical Imaging Agent to Detect Cancer During Surgical Procedures,2015-11-01T00:00:00Z,2017-04-19T00:00:00Z,2017-04-19T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2013,2015,2017,2017
NCT01988610,2018-01-23,2013-11-13,NA,Interventional,Phase 1,23,Completed,Effects of Mifepristone on Biomarkers of Metabolic Function and Neuropsychological Performance Among Middle-Aged and Older Individuals,2013-10-01T00:00:00Z,2017-02-01T00:00:00Z,2017-02-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2013,2013,2017,2017
NCT01988623,2021-01-09,2013-11-13,NA,Interventional,Not Applicable,21,Completed,Pivotal Response Treatment for Individuals With Intellectual Disabilities,2012-09-11T00:00:00Z,2017-09-30T00:00:00Z,2017-09-30T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2013,2012,2017,2017
NCT01990313,2018-01-22,2013-11-06,2017-12-15,Interventional,Not Applicable,15,Completed,Neural Signatures of Parkinson's Disease,2013-10-01T00:00:00Z,2016-11-01T00:00:00Z,2016-11-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2013,2013,2016,2016
NCT02006108,2018-04-10,2013-10-28,2017-04-11,Interventional,Not Applicable,21,Completed,Imaging Kidney Transplant Rejection Using Ferumoxytol-Enhanced Magnetic Resonance,2012-11-27T00:00:00Z,2017-04-11T00:00:00Z,2017-04-11T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2013,2012,2017,2017
NCT02019069,2019-01-17,2013-11-25,2018-10-03,Interventional,Phase 2,11,Completed,CPX-351 in Treating Patients With Relapsed or Refractory Acute Myeloid Leukemia or Myelodysplastic Syndrome,2014-02-03T00:00:00Z,2017-12-18T00:00:00Z,2017-12-04T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2013,2014,2017,2017
NCT02021812,2021-09-15,2013-12-13,2017-07-07,Interventional,Not Applicable,31,"Active, not recruiting",Feasibility Study for GORE® TAG® Thoracic Branch Endoprosthesis to Treat Proximal Descending Thoracic Aortic Aneurysms,2014-01-01T00:00:00Z,2022-04-01T00:00:00Z,2016-08-01T00:00:00Z,TRUE,NA,None (Open Label),INDUSTRY,TRUE,Stanford University,NA,NA,NA,NA,2013,2014,2022,2016
NCT02030405,2019-04-01,2013-11-25,2017-01-20,Interventional,Phase 2,4,Terminated,Ixazomib (MLN9708) in Treating Patients With Relapsed or Refractory Acute Myeloid Leukemia,2014-03-01T00:00:00Z,2015-11-01T00:00:00Z,2015-11-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,Stanford University Hospitals and Clinics,NA,NA,NA,NA,2013,2014,2015,2015
NCT02036658,2018-01-16,2014-01-10,NA,Interventional,Not Applicable,108,Completed,Emotion Regulation During RCT of CBT vs. MBSR for Social Anxiety Disorder,2011-03-01T00:00:00Z,2015-09-01T00:00:00Z,2015-09-01T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,Stanford University,NA,Stanford University,NA,NA,2014,2011,2015,2015
