nct_id,last_update_submitted_date,registration_date,summary_results_date,study_type,phase,enrollment,recruitment_status,title,start_date,completion_date,primary_completion_date,has_summary_results,allocation,masking,main_sponsor,is_multicentric,ucsf_principal_investigator,ucsf_study_chair,ucsf_study_director,ucsf_unspecified_official,registration_year,start_year,completion_year,primary_completion_year
NCT01468753,2015-05-13,2011-11-07,NA,Interventional,Not Applicable,40,Completed,"Pilot Study: Acceptability, Feasibility and Efficacy of Vaginal Insemination in HIV Discordant Couples (Female Positive, Male Negative) Desiring Conception in Kisumu, Kenya",2012-03-01T00:00:00Z,2014-02-01T00:00:00Z,2014-02-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,NA,"University of California, San Francisco",NA,NA,2011,2012,2014,2014
NCT01474382,2014-08-28,2011-11-11,NA,Interventional,Phase 4,150,Completed,Study of OraVerse® for Safety and Efficacy in Pediatric Dental Patients,2012-02-01T00:00:00Z,2014-08-01T00:00:00Z,2014-08-01T00:00:00Z,FALSE,Randomized,Triple,INDUSTRY,TRUE,"University of California, San Francisco",NA,NA,NA,2011,2012,2014,2014
NCT01478178,2017-01-19,2011-11-14,NA,Interventional,Phase 1/Phase 2,55,Completed,Safety Study of VAL-083 in Patients With Recurrent Malignant Glioma,2011-10-01T00:00:00Z,2016-10-01T00:00:00Z,2015-12-01T00:00:00Z,FALSE,NA,None (Open Label),INDUSTRY,TRUE,"University of California, San Francisco, 94143, USA",NA,NA,NA,2011,2011,2016,2015
NCT01479634,2016-03-03,2011-11-22,NA,Interventional,Not Applicable,279,Completed,Early HIV Therapy in Patients With High CD4 Cell Counts,2011-10-01T00:00:00Z,2015-06-01T00:00:00Z,2015-06-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),OTHER,FALSE,"University of California, San Francisco, San Francisco, CA, USA","University of California, San Francisco, San Francisco, CA, USA",NA,NA,2011,2011,2015,2015
NCT01488123,2016-10-24,2011-12-05,NA,Interventional,Not Applicable,32,Completed,Integrative Approaches for Cancer Survivorship,2012-01-01T00:00:00Z,2015-10-01T00:00:00Z,2014-08-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2011,2012,2015,2014
NCT01507558,2018-01-04,2011-11-09,NA,Interventional,Not Applicable,22,Completed,Dexamethasone Infusion to the Adventitia to Enhance Clinical Efficacy After Femoropopliteal Revascularization,2010-12-01T00:00:00Z,2016-12-01T00:00:00Z,2015-12-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,TRUE,"University of California, San Francisco",NA,NA,NA,2011,2010,2016,2015
NCT01535235,2016-05-12,2012-02-09,2016-03-01,Interventional,Phase 4,31,Completed,"ACE Inhibitors to Decrease Lymphoid Fibrosis in Antiretroviral-Treated, HIV-infected Patients: A Pilot Study",2012-02-01T00:00:00Z,2014-12-01T00:00:00Z,2014-12-01T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2012,2012,2014,2014
NCT01535508,2019-10-08,2012-02-14,NA,Interventional,Phase 2/Phase 3,10,Completed,Open Label Clinical Trial of Vitamin D in Children With Autism,2012-02-01T00:00:00Z,2015-12-01T00:00:00Z,2015-09-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2012,2012,2015,2015
NCT01536509,2020-01-24,2012-02-16,NA,Interventional,Not Applicable,140,Completed,Improving Medication Adherence in Pediatric Inflammatory Bowel Disease,2012-02-01T00:00:00Z,2016-05-31T00:00:00Z,2016-05-31T00:00:00Z,FALSE,Randomized,Single,OTHER,TRUE,NA,University of California San Francisco Benioff Children's Hospital,NA,NA,2012,2012,2016,2016
NCT01537133,2016-11-17,2012-02-09,2016-03-11,Interventional,Not Applicable,84,Completed,Airway Microbiome in Asthma: Relationships to Asthma Phenotype and Inhaled Corticosteroid Treatment,2012-10-01T00:00:00Z,2014-07-01T00:00:00Z,2014-07-01T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,TRUE,"University of California, San Francisco",NA,NA,NA,2012,2012,2014,2014
NCT01542918,2020-08-07,2012-02-27,NA,Interventional,Phase 1,14,Completed,Lenalidomide Plus Rituximab for Recurrent/Refractory CNS and Intraocular Lymphoma,2012-12-17T00:00:00Z,2016-08-30T00:00:00Z,2016-04-07T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2012,2012,2016,2016
NCT01545648,2019-12-13,2012-02-27,2019-12-13,Interventional,Phase 2,4,Terminated,Pilot Study to Evaluate the Impact of Denosumab on Disseminated Tumor Cells (DTC) in Patients With Early Stage Breast Cancer,2012-11-01T00:00:00Z,2016-06-09T00:00:00Z,2015-06-09T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2012,2012,2016,2015
NCT01554241,2015-02-13,2012-03-12,2015-01-23,Interventional,Not Applicable,86,Completed,Optimizing Vitamin D in the Elderly,2012-09-01T00:00:00Z,2014-09-01T00:00:00Z,2014-09-01T00:00:00Z,TRUE,Randomized,Single,OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2012,2012,2014,2014
NCT01555541,2021-07-02,2012-03-09,2019-03-03,Interventional,Phase 2,19,Completed,Study of Intensive Consolidation and Stem Cell Mobilization Therapy Followed by Autologous Stem Cell Transplantation in High-risk Patients With Relapsed/Refractory Diffuse Large B-Cell Lymphoma,2012-05-25T00:00:00Z,2021-07-01T00:00:00Z,2017-07-06T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2012,2012,2021,2017
NCT01557608,2020-01-10,2012-02-28,NA,Interventional,Not Applicable,754,Completed,Characterization and Treatment of Chemotherapy Neuropathy,2012-04-01T00:00:00Z,2015-12-08T00:00:00Z,2015-12-08T00:00:00Z,FALSE,Randomized,Triple,OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2012,2012,2015,2015
NCT01562132,2021-09-01,2012-03-21,2015-07-31,Interventional,Phase 2,6,Terminated,Safety Study of Fluconazole in Combination With Flucytosine for the Treatment of Early Cryptococcal Infection,2013-09-01T00:00:00Z,2014-07-01T00:00:00Z,2014-07-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,TRUE,"University of California, San Francisco",NA,NA,NA,2012,2013,2014,2014
NCT01571817,2020-10-02,2012-04-03,NA,Interventional,Phase 1,1,Completed,Pancreatic Islet Transplantation Into the Gastric Submucosa,2012-04-01T00:00:00Z,2014-12-01T00:00:00Z,2014-12-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2012,2012,2014,2014
NCT01594918,2017-07-20,2012-05-07,NA,Interventional,Phase 1,25,Completed,"Phase I Cabazitaxel, Mitoxantrone, and Prednisone Metastatic Castration-Resistant Prostate Cancer",2012-06-01T00:00:00Z,2017-06-23T00:00:00Z,2016-08-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,TRUE,NA,"University of California, San Francisco",NA,NA,2012,2012,2017,2016
NCT01596751,2020-07-02,2012-05-07,2020-04-01,Interventional,Phase 1/Phase 2,67,Completed,Phase Ib/II Study of PLX 3397 and Eribulin in Patients With Metastatic Breast Cancer,2012-07-12T00:00:00Z,2019-07-05T00:00:00Z,2017-07-05T00:00:00Z,TRUE,Non-Randomized,None (Open Label),OTHER,TRUE,"University of California, San Francisco",NA,NA,NA,2012,2012,2019,2017
NCT01606657,2017-05-01,2012-05-21,NA,Interventional,Not Applicable,201,Completed,Irrigation Versus no Irrigation for Cutaneous Abscess,2010-08-01T00:00:00Z,2015-04-01T00:00:00Z,2014-09-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"UCSF, Community Regional Medical Center",NA,NA,NA,2012,2010,2015,2014
NCT01614067,2021-05-20,2012-05-02,2021-05-20,Interventional,Phase 4,30,Terminated,Delayed Start to Ovarian Stimulation,2012-05-01T00:00:00Z,2014-09-01T00:00:00Z,2014-07-01T00:00:00Z,TRUE,Non-Randomized,None (Open Label),OTHER,FALSE,UCSF Center for Reproductive Health and Fertility Preservation,NA,NA,NA,2012,2012,2014,2014
NCT01617291,2014-02-12,2012-05-27,NA,Interventional,Not Applicable,46,Terminated,Therapeutic Hypothermia After the Return of Spontaneous Circulation,2013-03-01T00:00:00Z,2014-02-01T00:00:00Z,2014-02-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, San Francisco Fresno",NA,NA,NA,2012,2013,2014,2014
NCT01624948,2016-07-01,2012-06-15,2016-04-12,Interventional,Phase 4,40,Completed,Safety and Efficacy Study of Everolimus to Treat BK Virus Infection in Kidney Transplant Recipients,2012-09-01T00:00:00Z,2015-11-01T00:00:00Z,2015-02-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2012,2012,2015,2015
NCT01625013,2021-04-14,2012-06-11,2020-01-02,Interventional,Not Applicable,51,Completed,"Synvisc-One for Younger, Active Patients With Osteoarthritis",2011-11-01T00:00:00Z,2019-08-07T00:00:00Z,2017-10-02T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2012,2011,2019,2017
NCT01627392,2015-12-01,2012-06-14,NA,Interventional,Not Applicable,305,Completed,Mechanisms of the Nicotine Metabolism Effect on Tobacco Dependence,2012-07-01T00:00:00Z,2015-08-01T00:00:00Z,2015-08-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2012,2012,2015,2015
NCT01637402,2020-08-03,2012-07-06,2020-07-07,Interventional,Phase 2,41,Completed,A Phase II Study of Increased-Dose Abiraterone Acetate in Patients With Castration Resistant Prostate Cancer,2013-03-13T00:00:00Z,2017-02-27T00:00:00Z,2017-02-27T00:00:00Z,TRUE,Non-Randomized,None (Open Label),OTHER,TRUE,NA,"University of California, San Francisco",NA,NA,2012,2013,2017,2017
NCT01638559,2019-09-23,2012-07-09,2017-05-17,Interventional,Phase 2,161,Completed,Immunosuppression Withdrawal for Stable Pediatric Liver Transplant Recipients,2012-08-14T00:00:00Z,2018-06-11T00:00:00Z,2016-03-31T00:00:00Z,TRUE,NA,None (Open Label),NIH,TRUE,"University of California, San Francisco",NA,NA,NA,2012,2012,2018,2016
NCT01639079,2018-11-13,2012-07-10,NA,Interventional,Not Applicable,146,Completed,Comparison of Internet Stop Smoking Intervention to Usual Care on Smoking Cessation at 6 Months,2012-06-01T00:00:00Z,2016-04-01T00:00:00Z,2016-04-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2012,2012,2016,2016
NCT01641601,2020-07-27,2012-07-03,2020-07-27,Interventional,Not Applicable,8,Terminated,Prehospital Cervical Ripening Before Induction and the Maternal Experience,2012-07-01T00:00:00Z,2015-07-01T00:00:00Z,2015-07-01T00:00:00Z,TRUE,Randomized,Double,OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2012,2012,2015,2015
NCT01643382,2020-10-13,2012-07-16,2020-09-18,Interventional,Not Applicable,60,Completed,Hyperglycemia in Renal Transplantation,2012-08-01T00:00:00Z,2014-08-01T00:00:00Z,2014-08-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,FALSE,UCSF Department of Surgery,NA,NA,NA,2012,2012,2014,2014
NCT01646463,2020-02-13,2012-07-18,NA,Interventional,Not Applicable,49,Completed,Pilot Trial of CenteringPregnancy With Mindfulness Skills,2011-01-01T00:00:00Z,2017-05-03T00:00:00Z,2017-05-03T00:00:00Z,FALSE,Non-Randomized,Double,OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2012,2011,2017,2017
NCT01670175,2017-06-20,2012-08-17,NA,Interventional,Phase 1,21,Completed,Sirolimus With Cyclophosphamide and Topotecan for Pediatric/Adolescent Relapsed and Refractory Solid Tumors,2012-08-01T00:00:00Z,2016-09-01T00:00:00Z,2016-09-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2012,2012,2016,2016
NCT01671501,2018-10-08,2012-08-20,NA,Interventional,Not Applicable,614,Completed,Primary Care-Based Interventions to Reduce Alcohol Use Among HIV Patients,2013-03-01T00:00:00Z,2017-08-01T00:00:00Z,2016-08-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,"Associate Professor, University of California, San Francisco and Adjunct Investigator, Division of Research, Kaiser Permanente, Northern California",NA,NA,NA,2012,2013,2017,2016
NCT01686178,2017-10-16,2012-09-12,NA,Interventional,Not Applicable,17422,Completed,Countering Young Adult Tobacco Marketing in Bars,2012-09-01T00:00:00Z,2017-07-02T00:00:00Z,2017-07-02T00:00:00Z,FALSE,Non-Randomized,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2012,2012,2017,2017
NCT01686724,2019-06-14,2012-07-16,NA,Interventional,Not Applicable,504,Completed,Study of the Collaborative Life Skills Program,2012-09-01T00:00:00Z,2016-06-01T00:00:00Z,2015-11-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2012,2012,2016,2015
NCT01687673,2020-11-12,2012-09-11,2020-10-21,Interventional,Phase 2,29,Completed,Phase II Combination of Temsirolimus and Sorafenib in Advanced Hepatocellular Carcinoma,2012-10-05T00:00:00Z,2020-01-09T00:00:00Z,2016-04-26T00:00:00Z,TRUE,NA,None (Open Label),OTHER,TRUE,"University of California, San Francisco","University of California, San Francisco",NA,NA,2012,2012,2020,2016
NCT01693250,2019-08-09,2012-09-19,2017-10-24,Interventional,Not Applicable,40,Completed,iStart Smart for Teens for Healthy Weight Management,2015-04-01T00:00:00Z,2016-12-01T00:00:00Z,2016-06-01T00:00:00Z,TRUE,Randomized,Double,OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2012,2015,2016,2016
NCT01695473,2021-01-07,2012-09-26,2020-12-11,Interventional,Phase 2,11,Terminated,Neoadjuvant BKM120 in High-risk Prostate Cancer,2013-04-23T00:00:00Z,2015-02-05T00:00:00Z,2015-02-05T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2012,2013,2015,2015
NCT01702246,2016-10-26,2012-10-04,2016-01-15,Interventional,Phase 1/Phase 2,24,Completed,Effect of Simvastatin Treatment on Vaso-occlusive Pain in Sickle Cell Disease,2012-02-01T00:00:00Z,2015-06-01T00:00:00Z,2015-05-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,UCSF Benioff Children's Hospital Oakland,NA,NA,NA,2012,2012,2015,2015
NCT01709474,2015-12-15,2012-10-16,2015-10-20,Interventional,Phase 2,7,Terminated,Vitamin D3 Treatment in Pediatric Systemic Lupus Erythematosus,2013-06-01T00:00:00Z,2014-07-01T00:00:00Z,2014-07-01T00:00:00Z,TRUE,Randomized,None (Open Label),NIH,TRUE,NA,"University of California, San Francisco",NA,NA,2012,2013,2014,2014
NCT01709773,2018-02-16,2012-10-15,NA,Interventional,Not Applicable,20,Completed,Focal Ablation of Cervical Precancer,2013-01-17T00:00:00Z,2014-05-26T00:00:00Z,2014-04-11T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2012,2013,2014,2014
NCT01721603,2017-12-19,2012-11-01,2017-12-19,Interventional,Phase 2,2,Terminated,Dabrafenib and Trametinib With Radiosurgery in Melanoma Brain Mets,2013-04-01T00:00:00Z,2016-01-01T00:00:00Z,2016-01-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,NA,"University of California, San Francisco",NA,NA,2012,2013,2016,2016
NCT01723384,2019-04-15,2012-11-02,2018-12-07,Interventional,Phase 2,30,Completed,Intermittent Naltrexone Among Polysubstance Users,2013-05-01T00:00:00Z,2014-11-01T00:00:00Z,2014-10-01T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2012,2013,2014,2014
NCT01728909,2019-05-17,2012-11-07,NA,Interventional,Early Phase 1,64,Completed,Methadone Oxytocin Option,2012-05-01T00:00:00Z,2014-10-01T00:00:00Z,2014-10-01T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,"University of California San Francisco, San Francisco Veterans Affairs Medical Center",NA,NA,NA,2012,2012,2014,2014
NCT01728961,2014-05-16,2012-09-12,NA,Interventional,Phase 4,19,Terminated,Pharmacology of Antimalarial Therapy With or Without Antiretroviral Therapy,2012-02-01T00:00:00Z,2014-03-01T00:00:00Z,2014-03-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),NETWORK,TRUE,IMPAACT/UCSF,NA,NA,NA,2012,2012,2014,2014
NCT01743820,2015-01-16,2012-11-26,NA,Interventional,Phase 2,81,Completed,Phase2a Primaquine Dose Escalation Study,2013-09-01T00:00:00Z,2014-12-01T00:00:00Z,2014-12-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2012,2013,2014,2014
NCT01750268,2020-09-18,2012-11-28,2019-09-26,Interventional,Phase 4,32,Completed,Topiramate Treatment of Hazardous and Harmful Alcohol Use in Veterans With TBI,2012-11-01T00:00:00Z,2015-10-01T00:00:00Z,2015-10-01T00:00:00Z,TRUE,Randomized,Double,OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2012,2012,2015,2015
NCT01751685,2019-08-05,2012-12-03,NA,Interventional,Not Applicable,99,Completed,"Study of Hyperkyphosis, Exercise and Function-SHEAF",2013-02-01T00:00:00Z,2019-05-31T00:00:00Z,2016-07-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2012,2013,2019,2016
NCT01766674,2019-11-12,2013-01-09,NA,Interventional,Not Applicable,112,Completed,Specialized Centers of Research (SCOR)on Sex Differences - Kyphosis Study,2013-02-01T00:00:00Z,2016-05-31T00:00:00Z,2016-05-31T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,NA,NA,"University of California, San Francisco",NA,2013,2013,2016,2016
NCT01771705,2020-05-15,2013-01-16,NA,Interventional,Not Applicable,40,Completed,NFAT-Dependent Cytokine Gene Expression for Immune Monitoring in Kidney Transplant Patients,2013-05-02T00:00:00Z,2017-04-17T00:00:00Z,2016-08-13T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2013,2013,2017,2016
NCT01771731,2020-08-05,2013-01-14,2019-09-03,Interventional,Phase 1/Phase 2,27,Completed,Vaporized Cannabis for Chronic Pain Associated With Sickle Cell Disease,2014-08-01T00:00:00Z,2017-05-19T00:00:00Z,2017-05-12T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2013,2014,2017,2017
NCT01772485,2019-09-10,2013-01-14,NA,Interventional,Not Applicable,31,Completed,Online Neuroplasticity Training for Remediation of ADHD in Adolescent Children (ONTRAC),2013-01-01T00:00:00Z,2015-05-01T00:00:00Z,2015-05-01T00:00:00Z,FALSE,Randomized,Double,INDUSTRY,FALSE,"University of California, San Francisco",NA,NA,NA,2013,2013,2015,2015
NCT01772680,2020-11-20,2013-01-17,NA,Interventional,Not Applicable,40,Completed,Zinc and Diabetes in Patients With Thalassemia: a Pilot Study,2012-11-01T00:00:00Z,2015-05-01T00:00:00Z,2015-01-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,UCSF Benioff Children's Hospital Oakland,NA,NA,NA,2013,2012,2015,2015
NCT01781975,2020-02-10,2013-01-17,2018-05-25,Interventional,Phase 2,67,Completed,Imatinib Treatment in Recent Onset Type 1 Diabetes Mellitus,2014-01-01T00:00:00Z,2018-05-01T00:00:00Z,2017-05-01T00:00:00Z,TRUE,Randomized,Triple,OTHER,TRUE,"University of California, San Francisco",NA,NA,NA,2013,2014,2018,2017
NCT01784419,2020-09-08,2013-02-03,2020-08-24,Interventional,Not Applicable,10,Completed,Short Term Effects of Ivacaftor in Non-G551D Cystic Fibrosis Patients,2013-10-01T00:00:00Z,2015-12-01T00:00:00Z,2015-12-01T00:00:00Z,TRUE,Randomized,Triple,OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2013,2013,2015,2015
NCT01787331,2020-01-22,2013-02-06,2018-06-01,Interventional,Phase 2,21,Completed,Itraconazole in Treating Patients With Biochemically Relapsed Prostate Cancer,2013-10-29T00:00:00Z,2018-09-30T00:00:00Z,2017-05-30T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2013,2013,2018,2017
NCT01792648,2017-10-31,2012-04-26,NA,Interventional,Not Applicable,24,Completed,Effects of Almond Intake on Atherogenic Lipoprotein Particles,2013-04-01T00:00:00Z,2016-04-01T00:00:00Z,2016-02-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,UCSF Benioff Children's Hospital Oakland,NA,NA,NA,2012,2013,2016,2016
NCT01802216,2019-04-11,2013-02-15,2019-01-08,Interventional,Not Applicable,51,Completed,Kidney and Periodontal Disease Study,2014-02-01T00:00:00Z,2017-09-01T00:00:00Z,2017-09-01T00:00:00Z,TRUE,Randomized,Single,OTHER,TRUE,"University of California, San Francisco",NA,NA,NA,2013,2014,2017,2017
NCT01804829,2017-03-14,2013-03-04,NA,Interventional,Phase 3,80,Completed,Civacir® Polyclonal Immune Globulin (IgG) to Prevent Hepatitis C Virus (HCV) Recurrence in Liver Transplant Patients.,2013-06-01T00:00:00Z,2016-06-01T00:00:00Z,2016-02-01T00:00:00Z,FALSE,Randomized,None (Open Label),INDUSTRY,TRUE,"University of California, San Francisco",NA,NA,NA,2013,2013,2016,2016
NCT01810289,2018-11-02,2013-03-11,2017-01-09,Interventional,Not Applicable,12024,Completed,"The ""START"" (a Streamlined ART Initiation Strategy) Study",2013-04-01T00:00:00Z,2016-08-01T00:00:00Z,2016-08-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,TRUE,"University of California, San Francisco",NA,NA,NA,2013,2013,2016,2016
NCT01819987,2017-05-09,2013-03-18,NA,Interventional,Phase 1/Phase 2,32,Completed,HomeTech Healthy Lifestyle Program for Mothers With Young Children,2014-01-01T00:00:00Z,2016-06-01T00:00:00Z,2016-06-01T00:00:00Z,FALSE,Randomized,Triple,OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2013,2014,2016,2016
NCT01821443,2018-01-19,2013-03-13,NA,Interventional,Not Applicable,10,Terminated,A Single Arm Study of Neurocognitive Outcomes in Patients With Brain Metastases Managed With Stereotactic Radiosurgery (SRS),2012-12-01T00:00:00Z,2015-10-22T00:00:00Z,2015-10-22T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,NA,"University of California, San Francisco",NA,NA,2013,2012,2015,2015
NCT01823978,2019-10-04,2013-03-21,NA,Interventional,Phase 1,19,Completed,Safety Study of BPX-201 Dendritic Cell Vaccine Plus AP1903 in Metastatic Castrate Resistent Prostate Cancer,2013-04-01T00:00:00Z,2017-09-01T00:00:00Z,2016-05-01T00:00:00Z,FALSE,NA,None (Open Label),INDUSTRY,TRUE,"University of California, San Francisco",NA,NA,NA,2013,2013,2017,2016
NCT01825681,2019-08-01,2013-03-25,NA,Interventional,Not Applicable,175,Completed,Life Enhancing Activities for Family Caregivers,2013-10-01T00:00:00Z,2019-06-30T00:00:00Z,2017-08-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2013,2013,2019,2017
NCT01826305,2020-01-14,2013-04-03,NA,Interventional,Not Applicable,23,Terminated,Independent Exercise Compared With Formal Rehabilitation Following Primary Total Knee Replacement,2014-07-01T00:00:00Z,2015-10-23T00:00:00Z,2015-10-23T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2013,2014,2015,2015
NCT01829516,2016-06-25,2013-04-09,2015-12-09,Interventional,Phase 4,32,Completed,"Intranasal Oxytocin and Social Cognition, Implicit Preferences and Craving in Alcohol Drinkers",2013-05-01T00:00:00Z,2014-11-01T00:00:00Z,2014-05-01T00:00:00Z,TRUE,Randomized,Double,OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2013,2013,2014,2014
NCT01835665,2016-05-12,2013-03-27,NA,Interventional,Phase 1,8,Completed,Dose Finding Study of Nimodipine for the Treatment of Progranulin Insufficiency From GRN Gene Mutations,2013-03-01T00:00:00Z,2016-05-01T00:00:00Z,2016-05-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2013,2013,2016,2016
NCT01841307,2019-02-12,2013-04-23,NA,Interventional,Phase 1,16,Terminated,Cromolyn Detection of Silent Aspiration,2015-07-01T00:00:00Z,2017-09-01T00:00:00Z,2017-03-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2013,2015,2017,2017
NCT01841463,2014-09-03,2013-04-17,NA,Interventional,Phase 1,100,Suspended,Study of an Oral Cdk Inhibitor Administered With an Oral BRAF Inhibitor in Patients With Advanced or Inoperable Malignant Melanoma With BRAF Mutation,2013-08-01T00:00:00Z,2016-03-01T00:00:00Z,2015-03-01T00:00:00Z,FALSE,NA,None (Open Label),INDUSTRY,TRUE,UCSF Medical Center at Mount Zion,NA,NA,NA,2013,2013,2016,2015
NCT01869179,2020-01-13,2013-01-09,NA,Interventional,Not Applicable,390,Completed,Community Choirs To Promote Healthy Aging; Community of Voices Chorus,2013-02-01T00:00:00Z,2018-08-01T00:00:00Z,2016-12-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2013,2013,2018,2016
NCT01869699,2017-07-11,2013-05-31,2017-06-09,Interventional,Phase 4,41,Completed,Effects of Intravenous Acetaminophen on Body Temperature and Hemodynamic Responses in Febrile Critically Ill Adults,2013-09-01T00:00:00Z,2015-08-01T00:00:00Z,2015-08-01T00:00:00Z,TRUE,Randomized,Triple,OTHER,TRUE,"University of California, San Francisco",NA,NA,NA,2013,2013,2015,2015
NCT01874977,2016-05-10,2013-06-05,NA,Interventional,Not Applicable,96,Completed,Trial of a Physical Activity Intervention for RA Fatigue,2013-11-01T00:00:00Z,2016-03-01T00:00:00Z,2016-03-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2013,2013,2016,2016
NCT01877330,2020-03-17,2012-12-12,NA,Interventional,Not Applicable,208,Completed,Optimal Location of Local Anesthetic Injection for Ultrasound Guided Interscalene Block,2013-01-01T00:00:00Z,2016-04-01T00:00:00Z,2016-03-01T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2012,2013,2016,2016
NCT01879826,2020-01-13,2013-06-13,2016-10-24,Interventional,Not Applicable,81,Completed,Pediatric Laser Acupuncture and Renal Biopsy,2013-07-01T00:00:00Z,2015-11-01T00:00:00Z,2015-11-01T00:00:00Z,TRUE,Randomized,Triple,OTHER,TRUE,"University of California, San Francisco",NA,NA,NA,2013,2013,2015,2015
NCT01882998,2016-05-20,2013-06-17,NA,Interventional,Not Applicable,1230,Completed,Primary HIV Prevention in Pregnant and Lactating Ugandan Women,2013-02-01T00:00:00Z,2016-05-01T00:00:00Z,2016-05-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2013,2013,2016,2016
